Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/HermaineCustomer/Page_XYZ Bank/button_Home""))",Chrome 119.0.0.0,,,2023-11-29 17:13:47,2023-11-29 17:13:48,1.115s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-29 17:13:48,2023-11-29 17:13:49,0.712s,PASSED
,,,,,,,
Test Cases/GlobalsManagerLogin,Chrome 119.0.0.0,,,2023-11-29 17:13:49,2023-11-29 17:14:02,12.613s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-29 17:13:49,2023-11-29 17:13:51,1.272s,PASSED
"navigateToUrl(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/login"")",Chrome 119.0.0.0,,,2023-11-29 17:13:51,2023-11-29 17:13:54,2.903s,PASSED
maximizeWindow(),Chrome 119.0.0.0,,,2023-11-29 17:13:54,2023-11-29 17:13:54,0.129s,PASSED
"click(findTestObject(""Object Repository/AddCustomerManager/Page_XYZ Bank/button_Bank Manager Login""))",Chrome 119.0.0.0,,,2023-11-29 17:13:54,2023-11-29 17:13:56,2.150s,PASSED
"click(findTestObject(""Object Repository/AddCustomerManager/Page_XYZ Bank/button_Add Customer""))",Chrome 119.0.0.0,,,2023-11-29 17:13:56,2023-11-29 17:13:57,1.234s,PASSED
"setText(findTestObject(""Object Repository/AddCustomerManager/Page_XYZ Bank/input_First Name_form-control ng-pristine n_693e51""), ""Test"")",Chrome 119.0.0.0,,,2023-11-29 17:13:57,2023-11-29 17:13:59,1.553s,PASSED
"setText(findTestObject(""Object Repository/AddCustomerManager/Page_XYZ Bank/input_Last Name_form-control ng-pristine ng_64913d""), ""Test"")",Chrome 119.0.0.0,,,2023-11-29 17:13:59,2023-11-29 17:13:59,0.677s,PASSED
"click(findTestObject(""Object Repository/AddCustomerManager/Page_XYZ Bank/button_Add Customer_1""))",Chrome 119.0.0.0,,,2023-11-29 17:13:59,2023-11-29 17:14:00,0.385s,PASSED
"setText(findTestObject(""Object Repository/AddCustomerManager/Page_XYZ Bank/input_Post Code_form-control ng-pristine ng_b8fd27""), ""515411"")",Chrome 119.0.0.0,,,2023-11-29 17:14:00,2023-11-29 17:14:00,0.679s,PASSED
"click(findTestObject(""Object Repository/AddCustomerManager/Page_XYZ Bank/button_Add Customer_1""))",Chrome 119.0.0.0,,,2023-11-29 17:14:00,2023-11-29 17:14:01,0.386s,PASSED
"click(findTestObject(""Object Repository/AddCustomerManager/Page_XYZ Bank/button_Home""))",Chrome 119.0.0.0,,,2023-11-29 17:14:01,2023-11-29 17:14:01,0.187s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-29 17:14:01,2023-11-29 17:14:02,0.745s,PASSED
,,,,,,,
Test Cases/AccountOpeningManager,Chrome 119.0.0.0,,,2023-11-29 17:14:02,2023-11-29 17:14:13,11.303s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-29 17:14:02,2023-11-29 17:14:03,1.232s,PASSED
"navigateToUrl(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/login"")",Chrome 119.0.0.0,,,2023-11-29 17:14:03,2023-11-29 17:14:06,2.285s,PASSED
maximizeWindow(),Chrome 119.0.0.0,,,2023-11-29 17:14:06,2023-11-29 17:14:06,0.137s,PASSED
"click(findTestObject(""Object Repository/AccountOpeningManager/Page_XYZ Bank/button_Bank Manager Login""))",Chrome 119.0.0.0,,,2023-11-29 17:14:06,2023-11-29 17:14:08,1.849s,PASSED
"click(findTestObject(""Object Repository/AccountOpeningManager/Page_XYZ Bank/button_Open Account""))",Chrome 119.0.0.0,,,2023-11-29 17:14:08,2023-11-29 17:14:09,0.961s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/AccountOpeningManager/Page_XYZ Bank/select_---Customer Name---       Hermoine G_e4ab73""), ""1"", true)",Chrome 119.0.0.0,,,2023-11-29 17:14:09,2023-11-29 17:14:11,1.947s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/AccountOpeningManager/Page_XYZ Bank/select_---Currency---       Dollar      Pou_e54511""), ""Pound"", true)",Chrome 119.0.0.0,,,2023-11-29 17:14:11,2023-11-29 17:14:12,1.036s,PASSED
"click(findTestObject(""Object Repository/AccountOpeningManager/Page_XYZ Bank/button_Process""))",Chrome 119.0.0.0,,,2023-11-29 17:14:12,2023-11-29 17:14:12,0.412s,PASSED
"click(findTestObject(""Object Repository/AccountOpeningManager/Page_XYZ Bank/button_Home""))",Chrome 119.0.0.0,,,2023-11-29 17:14:12,2023-11-29 17:14:12,0.180s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-29 17:14:12,2023-11-29 17:14:13,0.786s,PASSED
